# raw Area March Arctic (10^6 km2)  raw sept. Area Sept Arctic (10^6 km2)
1979 13.13 14.32  4.53 5.72
1980 12.92 14.11  4.83 6.02
1981 12.62 13.81  4.38 5.57
1982 12.99 14.18  4.38 5.57
1983 12.84 14.03  4.64 5.83
1984 12.48 13.67  4.05 5.24
1985 12.66 13.85  4.17 5.36
1986 12.65 13.84  4.66 5.85
1987 12.75 13.94  5.6 5.91
1988 13.84 14.15  5.31 5.62
1989 13.14 13.45  4.81 5.12
1990 13.44 13.75  4.5 4.81
1991 13.35 13.66  4.46 4.77
1992 13.41 13.72  5.37 5.68
1993 13.71 14.02  4.52 4.83
1994 13.47 13.78  5.08 5.39
1995 13.27 13.58  4.38 4.69
1996 12.83 13.14  5.58 5.89
1997 13.24 13.55  4.84 5.15
1998 13.5 13.81  4.24 4.55
1999 13.47 13.78  4.22 4.53
2000 13.1 13.41  4.31 4.62
2001 13.57 13.88  4.55 4.86
2002 13.36 13.67  3.98 4.29
2003 13.26 13.57  4.01 4.32
2004 12.93 13.24  4.35 4.66
